,ST01,ST02,ST03,ST04,ST05,ST06,ST07,ST08,ST09,ST10
2009-01-21T04:00:05.000000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:05.750000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:06.500000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:07.250000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:08.000000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:08.750000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:09.500000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:10.250000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:11.000000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:11.750000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:12.500000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:13.250000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:14.000000Z,1,1,1,1,1,1,1,1,1,1
2009-01-21T04:00:14.750000Z,1,1,1,1,1,1,1,1,1,1
